BREED,HEIGHT,WEIGHT,LIFE EXPECTANCY,CHARACTERISTICS,GROOMING FREQUENCY,SHEDDING LEVEL,ENERGY LEVEL,TRAINABILITY,TEMPERAMENT/DEMEANOR,description
Kuvasz,"28-30 inches (male), 26-28 inches (female)","100-115 pounds (male), 70-90 pounds (female)",10-12 years,"Loyal, Fearless, Courageous",Weekly Brushing,Regularly,Regular Exercise,Independent,Reserved with Strangers,"Kuvaszは犬種です。

体高は28〜76.2cm (オス)、 26〜71.1cm (メス)です。
体重は100〜52.2kg (オス)、 70〜40.8kg (メス)です。
寿命は10〜12 年です。

特徴は忠実です、勇敢です、勇敢です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Labrador Retriever,"22.5-24.5 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-12 years,"Friendly, Active, Outgoing",Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Outgoing,"Labrador Retrieverは犬種です。

体高は22.5〜62.2cm (オス)、 21.5〜59.7cm (メス)です。
体重は65〜36.3kg (オス)、 55〜31.8kg (メス)です。
寿命は10〜12 年です。

特徴は友好的です、活動的です、社交的です。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
社交的な性格です。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Lagotto Romagnolo,"17-19 inches (male), 16-18 inches (female)","28.5-35 pounds (male), 24-31 pounds (female)",15-17 years,"Affectionate, Keen, Undemanding",Occasional Bath/Brush,Infrequent,Regular Exercise,Eager to Please,Alert/Responsive,"Lagotto Romagnoloは犬種です。

体高は17〜48.3cm (オス)、 16〜45.7cm (メス)です。
体重は28.5〜15.9kg (オス)、 24〜14.1kg (メス)です。
寿命は15〜17 年です。

特徴は愛情深いです、鋭いです、要求が少ないです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Lakeland Terrier,"14-15 inches (male), slightly smaller (female)","17 pounds (male), slightly smaller (female)",12-15 years,"Friendly, Confident, Bold",Weekly Brushing,Infrequent,Regular Exercise,Agreeable,Alert/Responsive,"Lakeland Terrierは犬種です。

体高は14〜38.1cm (オス)、 わずかに小さめ (メス)です。
体重は7.7kg (オス)、 わずかに小さめ (メス)です。
寿命は12〜15 年です。

特徴は友好的です、自信に満ちています、大胆です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
抜け毛は少ないです。"
Lancashire Heeler,10-12 inches,9-17 pounds,12-15 years,"Affectionate, Versatile, Intelligent",Occasional Bath/Brush,Seasonal,Energetic,Easy Training,Friendly,"Lancashire Heelerは犬種です。

体高は10〜30.5cmです。
体重は9〜7.7kgです。
寿命は12〜15 年です。

特徴は愛情深いです、多才です、知的です。

多くの運動を必要とします。
しつけは容易な傾向があります。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Lapponian Herder,18-20 inches,70 pounds,10-14 years,"Friendly, Energetic, Intelligent",Weekly Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,"Lapponian Herderは犬種です。

体高は18〜50.8cmです。
体重は31.8kgです。
寿命は10〜14 年です。

特徴は友好的です、エネルギッシュです、知的です。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Leonberger,"28-31.5 inches (male), 25.5-29.5 inches (female)","110-170 pounds (male), 90-140 pounds (female)",9 years,"Friendly, Gentle, Playful",Daily Brushing,Regularly,Regular Exercise,Eager to Please,Friendly,"Leonbergerは犬種です。

体高は28〜80cm (オス)、 25.5〜74.9cm (メス)です。
体重は110〜77.1kg (オス)、 90〜63.5kg (メス)です。
寿命は9 年です。

特徴は友好的です、穏やかで優しいです、遊び好きです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
毎日のブラッシングが必要です。
定期的に抜け毛があります。"
Russian Tsvetnaya Bolonka,9-10 inches,4.5-11 pounds,12-16 years,"Playful, Charming, Inquisitive",2-3 Times a Week Brushing,Infrequent,Regular Exercise,Agreeable,Friendly,"Russian Tsvetnaya Bolonkaは犬種です。

体高は9〜25.4cmです。
体重は4.5〜5kgです。
寿命は12〜16 年です。

特徴は遊び好きです、魅力的です、探求心旺盛です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
抜け毛は少ないです。"
Löwchen,11-13 inches,10-15 pounds,15+ years,"Affectionate, Outgoing, Positive",Occasional Bath/Brush,Infrequent,Regular Exercise,Agreeable,Outgoing,"Löwchenは犬種です。

体高は11〜33cmです。
体重は10〜6.8kgです。
寿命は15+ 年です。

特徴は愛情深いです、社交的です、前向きです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
社交的な性格です。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Maltese,7-9 inches,under 7 pounds,12-15 years,"Gentle, Playful, Charming",Daily Brushing,Infrequent,Regular Exercise,Agreeable,Outgoing,"Malteseは犬種です。

体高は7〜22.9cmです。
体重は未満 3.2kgです。
寿命は12〜15 年です。

特徴は穏やかで優しいです、遊び好きです、魅力的です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
社交的な性格です。
毎日のブラッシングが必要です。
抜け毛は少ないです。"
Manchester Terrier (Standard),15-16 inches,12-22 pounds,15-17 years,"Spirited, Bright, Keenly Observant",Weekly Brushing,Occasional,Regular Exercise,Easy Training,Alert/Responsive,"Manchester Terrier (Standard)は犬種です。

体高は15〜40.6cmです。
体重は12〜10kgです。
寿命は15〜17 年です。

特徴は活発です、明るいです、鋭い観察力を持っています。

適度な運動が必要です。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Manchester Terrier (Toy),10-12 inches,under 12 pounds,15-17 years,"Agile, Spirited, Intelligent",Weekly Brushing,Occasional,Regular Exercise,Easy Training,Alert/Responsive,"Manchester Terrier (Toy)は犬種です。

体高は10〜30.5cmです。
体重は未満 5.4kgです。
寿命は15〜17 年です。

特徴は機敏です、活発です、知的です。

適度な運動が必要です。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Mastiff,"30 inches & up (male), 27.5 inches & up (female)","160-230 pounds (male), 120-170 pounds (female)",6-10 years,"Courageous, Dignified, Good-Natured",Occasional Bath/Brush,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"Mastiffは犬種です。

体高は76.2cm 以上 (オス)、 69.8cm 以上 (メス)です。
体重は160〜104.3kg (オス)、 120〜77.1kg (メス)です。
寿命は6〜10 年です。

特徴は勇敢です、威厳があります、気立てが良いです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Miniature American Shepherd,"14-18 inches (male), 13-17 inches (female)",20-40 pounds,12-13 years,"Good-Natured, Intelligent, Devoted",Daily Brushing,Frequent,Energetic,Eager to Please,Friendly,"Miniature American Shepherdは犬種です。

体高は14〜45.7cm (オス)、 13〜43.2cm (メス)です。
体重は20〜18.1kgです。
寿命は12〜13 年です。

特徴は気立てが良いです、知的です、献身的です。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
毎日のブラッシングが必要です。
普段から抜け毛が多い犬種です。"
Miniature Bull Terrier,10-14 inches,18-28 pounds,11-13 years,"Upbeat, Mischievous, Comical",Occasional Bath/Brush,Occasional,Energetic,Independent,Alert/Responsive,"Miniature Bull Terrierは犬種です。

体高は10〜35.6cmです。
体重は18〜12.7kgです。
寿命は11〜13 年です。

特徴は陽気で明るいです、いたずら好きです、コミカルです。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Miniature Pinscher,10-12.5 inches,8-10 pounds,12-16 years,"Fearless, Fun-Loving, Proud",Occasional Bath/Brush,Infrequent,Regular Exercise,Independent,Alert/Responsive,"Miniature Pinscherは犬種です。

体高は10〜31.8cmです。
体重は8〜4.5kgです。
寿命は12〜16 年です。

特徴は勇敢です、楽しいことが好きです、誇り高いです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Miniature Schnauzer,12-14 inches,11-20 pounds,12-15 years,"Friendly, Smart, Obedient",Specialty/Professional,Infrequent,Regular Exercise,Eager to Please,Alert/Responsive,"Miniature Schnauzerは犬種です。

体高は12〜35.6cmです。
体重は11〜9.1kgです。
寿命は12〜15 年です。

特徴は友好的です、頭がいいです、従順です。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
専門的な手入れやプロによるトリミングが必要です。
抜け毛は少ないです。"
Mountain Cur,16-26 inches,30-60 pounds,10-13 years,"Intelligent, Strong-Willed, Reserved with Strangers",Occasional Bath/Brush,Seasonal,Needs Lots of Activity,May be Stubborn,Reserved with Strangers,"Mountain Curは犬種です。

体高は16〜66cmです。
体重は30〜27.2kgです。
寿命は10〜13 年です。

特徴は知的です、意志が強いです、人見知りをします。

非常に活発で、多くの運動や遊びが必要です。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Mudi,15-18.5 inches,18-29 pounds,12-14 years,"Loyal, Intelligent, Active",Occasional Bath/Brush,Occasional,Needs Lots of Activity,Eager to Please,Reserved with Strangers,"Mudiは犬種です。

体高は15〜47cmです。
体重は18〜13.2kgです。
寿命は12〜14 年です。

特徴は忠実です、知的です、活動的です。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Neapolitan Mastiff,"26-31 inches (male), 24-29 inches (female)","150 pounds (male), 110 pounds (female)",7-9 years,"Loyal, Dignified, Watchful",Weekly Brushing,Seasonal,Regular Exercise,May be Stubborn,Aloof/Wary,"Neapolitan Mastiffは犬種です。

体高は26〜78.7cm (オス)、 24〜73.7cm (メス)です。
体重は68kg (オス)、 49.9kg (メス)です。
寿命は7〜9 年です。

特徴は忠実です、威厳があります、用心深いです。

適度な運動が必要です。
しつけには根気が必要です。
よそよそしく用心深いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Nederlandse Kooikerhondje,"15-17 inches (male), 14-16 inches (female)",20-30 pounds,12-15 years,"Friendly, Alert, Quick",Weekly Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,"Nederlandse Kooikerhondjeは犬種です。

体高は15〜43.2cm (オス)、 14〜40.6cm (メス)です。
体重は20〜13.6kgです。
寿命は12〜15 年です。

特徴は友好的です、警戒心が強いです、素早いです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Newfoundland,"28 inches (male), 26 inches (female)","130-150 pounds (male), 100-120 pounds (female)",9-10 years,"Sweet, Patient, Devoted",Weekly Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"Newfoundlandは犬種です。

体高は71.1cm (オス)、 66cm (メス)です。
体重は130〜68kg (オス)、 100〜54.4kg (メス)です。
寿命は9〜10 年です。

特徴は優しいです、忍耐強いです、献身的です。

適度な運動が必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Norfolk Terrier,9-10 inches,11-12 pounds,12-16 years,"Fearless, Alert, Fun-Loving",Weekly Brushing,Seasonal,Regular Exercise,Agreeable,Friendly,"Norfolk Terrierは犬種です。

体高は9〜25.4cmです。
体重は11〜5.4kgです。
寿命は12〜16 年です。

特徴は勇敢です、警戒心が強いです、楽しいことが好きです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Norrbottenspets,16.5-18 inches,20-30 pounds,14-17 years,"Fearless, Agile, Attentive",Weekly Brushing,Occasional,Energetic,,,"Norrbottenspetsは犬種です。

体高は16.5〜45.7cmです。
体重は20〜13.6kgです。
寿命は14〜17 年です。

特徴は勇敢です、機敏です、注意深いです。

多くの運動を必要とします。
不明
不明
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Norwegian Buhund,"17-18.5 inches (male), 16-17.5 inches (female)","31-40 pounds (male), 26-35 pounds (female)",12-15 years,"Confident, Smart, Perceptive",Weekly Brushing,Seasonal,Energetic,Easy Training,Friendly,"Norwegian Buhundは犬種です。

体高は17〜47cm (オス)、 16〜44.5cm (メス)です。
体重は31〜18.1kg (オス)、 26〜15.9kg (メス)です。
寿命は12〜15 年です。

特徴は自信に満ちています、頭がいいです、洞察力があります。

多くの運動を必要とします。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Norwegian Elkhound,"20.5 inches (male), 19.5 inches (female)","55 pounds (male), 48 pounds (female)",12-15 years,"Friendly, Confident, Dependable",Weekly Brushing,Seasonal,Regular Exercise,Agreeable,Friendly,"Norwegian Elkhoundは犬種です。

体高は52.1cm (オス)、 49.5cm (メス)です。
体重は24.9kg (オス)、 21.8kg (メス)です。
寿命は12〜15 年です。

特徴は友好的です、自信に満ちています、信頼できます。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Norwegian Lundehund,"13-15 inches (male), 12-14 inches (female)",20-30 pounds,12-15 years,"Loyal, Energetic, Alert",Weekly Brushing,Seasonal,Energetic,Agreeable,Reserved with Strangers,"Norwegian Lundehundは犬種です。

体高は13〜38.1cm (オス)、 12〜35.6cm (メス)です。
体重は20〜13.6kgです。
寿命は12〜15 年です。

特徴は忠実です、エネルギッシュです、警戒心が強いです。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Norwich Terrier,10 inches,12 pounds,12-15 years,"Affectionate, Alert, Curious",Weekly Brushing,Seasonal,Energetic,Agreeable,Friendly,"Norwich Terrierは犬種です。

体高は25.4cmです。
体重は5.4kgです。
寿命は12〜15 年です。

特徴は愛情深いです、警戒心が強いです、好奇心旺盛です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Nova Scotia Duck Tolling Retriever,"18-21 inches (male), 17-20 inches (female)",35-50 pounds,12-14 years,"Affectionate, Intelligent, Outgoing",Weekly Brushing,Seasonal,Needs Lots of Activity,Easy Training,Friendly,"Nova Scotia Duck Tolling Retrieverは犬種です。

体高は18〜53.3cm (オス)、 17〜50.8cm (メス)です。
体重は35〜22.7kgです。
寿命は12〜14 年です。

特徴は愛情深いです、知的です、社交的です。

非常に活発で、多くの運動や遊びが必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Old English Sheepdog,"22 inches & up (male), 21 inches & up (female)",60-100 pounds,10-12 years,"Adaptable, Gentle, Smart",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"Old English Sheepdogは犬種です。

体高は55.9cm 以上 (オス)、 53.3cm 以上 (メス)です。
体重は60〜45.4kgです。
寿命は10〜12 年です。

特徴は適応力があります、穏やかで優しいです、頭がいいです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Otterhound,"27 inches (male), 24 inches (female)","115 pounds (male), 80 pounds (female)",10-13 years,"Even-Tempered, Amiable, Boisterous",Weekly Brushing,Seasonal,Regular Exercise,May be Stubborn,Alert/Responsive,"Otterhoundは犬種です。

体高は68.6cm (オス)、 61cm (メス)です。
体重は52.2kg (オス)、 36.3kg (メス)です。
寿命は10〜13 年です。

特徴は穏やかです、愛想が良いです、騒々しいです。

適度な運動が必要です。
しつけには根気が必要です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Papillon,8-11 inches,5-10 pounds,14-16 years,"Friendly, Alert, Happy",Weekly Brushing,Seasonal,Regular Exercise,Eager to Please,Outgoing,"Papillonは犬種です。

体高は8〜27.9cmです。
体重は5〜4.5kgです。
寿命は14〜16 年です。

特徴は友好的です、警戒心が強いです、明るいです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
社交的な性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Parson Russell Terrier,"14 inches (male), 13 inches (female)",13-17 pounds,13-15 years,"Friendly, Clever, Athletic",Weekly Brushing,Occasional,Needs Lots of Activity,Agreeable,Friendly,"Parson Russell Terrierは犬種です。

体高は35.6cm (オス)、 33cm (メス)です。
体重は13〜7.7kgです。
寿命は13〜15 年です。

特徴は友好的です、賢いです、運動能力が高いです。

非常に活発で、多くの運動や遊びが必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Pekingese,6-9 inches,up to 14 pounds,12-14 years,"Affectionate, Loyal, Regal in Manner",2-3 Times a Week Brushing,Seasonal,Calm,May be Stubborn,Reserved with Strangers,"Pekingeseは犬種です。

体高は6〜22.9cmです。
体重は最大 6.4kgです。
寿命は12〜14 年です。

特徴は愛情深いです、忠実です、威厳のある振る舞いをします。

落ち着いています。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Pembroke Welsh Corgi,10-12 inches,"up to 30 pounds (male), up to 28 pounds (female)",12-13 years,"Affectionate, Smart, Alert",Weekly Brushing,Regularly,Energetic,Agreeable,Outgoing,"Pembroke Welsh Corgiは犬種です。

体高は10〜30.5cmです。
体重は最大 13.6kg (オス)、 最大 12.7kg (メス)です。
寿命は12〜13 年です。

特徴は愛情深いです、頭がいいです、警戒心が強いです。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
社交的な性格です。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Perro de Presa Canario,22-26 inches,84-110 pounds,9-11 years,"Confident, Calm, Strong-Willed",Occasional Bath/Brush,Seasonal,Calm,,,"Perro de Presa Canarioは犬種です。

体高は22〜66cmです。
体重は84〜49.9kgです。
寿命は9〜11 年です。

特徴は自信に満ちています、冷静です、意志が強いです。

落ち着いています。
不明
不明
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Peruvian Inca Orchid,9.75-15.75 inches (small) 15.75-19.75 inches (medium) 19.75-25.75 inches (large),8.5-17.5 pounds (small) 17.5-26.5 pounds (medium) 26.5-55 pounds (large),12-14 years,"Affectionate, Loyal, Noble",Occasional Bath/Brush,Regularly,Energetic,Agreeable,Reserved with Strangers,"Peruvian Inca Orchidは犬種です。

体高は9.75〜40cm （スモール） 15.75〜50.2cm （ミディアム） 19.75〜65.4cm （ラージ）です。
体重は8.5〜7.9kg （スモール） 17.5〜12kg （ミディアム） 26.5〜24.9kg （ラージ）です。
寿命は12〜14 年です。

特徴は愛情深いです、忠実です、高貴です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
定期的に抜け毛があります。"
Petit Basset Griffon Vendéen,13-15 inches,25-40 pounds,12-14 years,"Alert, Happy, Vivacious",Weekly Brushing,Occasional,Energetic,Independent,Friendly,"Petit Basset Griffon Vendéenは犬種です。

体高は13〜38.1cmです。
体重は25〜18.1kgです。
寿命は12〜14 年です。

特徴は警戒心が強いです、明るいです、活発です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Pharaoh Hound,"23-25 inches (male), 21-24 inches (female)",45-55 pounds,12-14 years,"Friendly, Smart, Noble",Weekly Brushing,Seasonal,Energetic,Independent,Reserved with Strangers,"Pharaoh Houndは犬種です。

体高は23〜63.5cm (オス)、 21〜61cm (メス)です。
体重は45〜24.9kgです。
寿命は12〜14 年です。

特徴は友好的です、頭がいいです、高貴です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Plott Hound,"20-25 inches (male), 20-23 inches (female)","50-60 pounds (male), 40-55 pounds (female)",12-14 years,"Loyal, Alert, Intelligent",Occasional Bath/Brush,Occasional,Energetic,Independent,Alert/Responsive,"Plott Houndは犬種です。

体高は20〜63.5cm (オス)、 20〜58.4cm (メス)です。
体重は50〜27.2kg (オス)、 40〜24.9kg (メス)です。
寿命は12〜14 年です。

特徴は忠実です、警戒心が強いです、知的です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Pointer,"25-28 inches (male), 23-26 inches (female)","55-75 pounds (male), 45-65 pounds (female)",12-17 years,"Loyal, Hardworking, Even-Tempered",Weekly Brushing,Occasional,Energetic,Agreeable,Alert/Responsive,"Pointerは犬種です。

体高は25〜71.1cm (オス)、 23〜66cm (メス)です。
体重は55〜34kg (オス)、 45〜29.5kg (メス)です。
寿命は12〜17 年です。

特徴は忠実です、勤勉です、穏やかです。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Polish Lowland Sheepdog,"18-20 inches (male), 17-19 inches (female)",30-50 pounds,12-14 years,"Confident, Clever, Lively",Daily Brushing,Seasonal,Energetic,May be Stubborn,Aloof/Wary,"Polish Lowland Sheepdogは犬種です。

体高は18〜50.8cm (オス)、 17〜48.3cm (メス)です。
体重は30〜22.7kgです。
寿命は12〜14 年です。

特徴は自信に満ちています、賢いです、陽気です。

多くの運動を必要とします。
しつけには根気が必要です。
よそよそしく用心深いです。
毎日のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Pomeranian,6-7 inches,3-7 pounds,12-16 years,"Inquisitive, Bold, Lively",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Agreeable,Alert/Responsive,"Pomeranianは犬種です。

体高は6〜17.8cmです。
体重は3〜3.2kgです。
寿命は12〜16 年です。

特徴は探求心旺盛です、大胆です、陽気です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Poodle (Miniature),10-15 inches,10-15 pounds,10-18 years,"Active, Proud, Very Smart",,,DOUBLE CHECK,,,"Poodle (Miniature)は犬種です。

体高は10〜38.1cmです。
体重は10〜6.8kgです。
寿命は10〜18 年です。

特徴は活動的です、誇り高いです、非常に賢いです。

不明
不明
不明
不明
不明"
Poodle (Standard),Over 15 inches (standard),"60-70 pounds (male), 40-50 pounds (female)",10-18 years,"Active, Proud, Very Smart",Specialty/Professional,Infrequent,Regular Exercise,Eager to Please,Friendly,"Poodle (Standard)は犬種です。

体高はOver 38.1cm （スタンダード）です。
体重は60〜31.8kg (オス)、 40〜22.7kg (メス)です。
寿命は10〜18 年です。

特徴は活動的です、誇り高いです、非常に賢いです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
専門的な手入れやプロによるトリミングが必要です。
抜け毛は少ないです。"
Poodle (Toy),No more than 10 inches,4-6 pounds,10-18 years,"Agile, Intelligent, Self-Confident",Specialty/Professional,Infrequent,Regular Exercise,Eager to Please,Friendly,"Poodle (Toy)は犬種です。

体高は最大 25.4cmです。
体重は4〜2.7kgです。
寿命は10〜18 年です。

特徴は機敏です、知的です、自信に満ちています。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
専門的な手入れやプロによるトリミングが必要です。
抜け毛は少ないです。"
Porcelaine,22-23 inches,55-62 pounds,12-13 years,"Independent, Energetic, Powerful",Occasional Bath/Brush,,Energetic,,Alert/Responsive,"Porcelaineは犬種です。

体高は22〜58.4cmです。
体重は55〜28.1kgです。
寿命は12〜13 年です。

特徴は独立心が強いです、エネルギッシュです、力強いです。

多くの運動を必要とします。
不明
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
不明"
Portuguese Podengo,22-28 inches (large) 16-22 inches (medium),44-66 pounds (large) 35-44 pounds (medium),10-12 years,"Independent, Alert, Intelligent",Weekly Brushing,Regularly,Energetic,Agreeable,Reserved with Strangers,"Portuguese Podengoは犬種です。

体高は22〜71.1cm （ラージ） 16〜55.9cm （ミディアム）です。
体重は44〜29.9kg （ラージ） 35〜20kg （ミディアム）です。
寿命は10〜12 年です。

特徴は独立心が強いです、警戒心が強いです、知的です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Portuguese Podengo Pequeno,8-12 inches,9-13 pounds,12-15 years,"Playful, Charming, Lively",Weekly Brushing,Seasonal,Energetic,Agreeable,Friendly,"Portuguese Podengo Pequenoは犬種です。

体高は8〜30.5cmです。
体重は9〜5.9kgです。
寿命は12〜15 年です。

特徴は遊び好きです、魅力的です、陽気です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Portuguese Pointer,20.5-22 inches,35-59 pounds,~14 years,"Affectionate, Smart, Energetic",Occasional Bath/Brush,Occasional,Energetic,Eager to Please,Friendly,"Portuguese Pointerは犬種です。

体高は20.5〜55.9cmです。
体重は35〜26.8kgです。
寿命は~14 年です。

特徴は愛情深いです、頭がいいです、エネルギッシュです。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Portuguese Sheepdog,16.5-21.5 inches,37.5-59 pounds,12-13 years,"Intelligent, Devoted, Lively",Weekly Brushing,Occasional,Energetic,,,"Portuguese Sheepdogは犬種です。

体高は16.5〜54.6cmです。
体重は37.5〜26.8kgです。
寿命は12〜13 年です。

特徴は知的です、献身的です、陽気です。

多くの運動を必要とします。
不明
不明
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Portuguese Water Dog,"20-23 inches (male), 17-21 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11-13 years,"Affectionate, Adventurous, Athletic",Daily Brushing,Seasonal,Energetic,Easy Training,Alert/Responsive,"Portuguese Water Dogは犬種です。

体高は20〜58.4cm (オス)、 17〜53.3cm (メス)です。
体重は42〜27.2kg (オス)、 35〜22.7kg (メス)です。
寿命は11〜13 年です。

特徴は愛情深いです、冒険好きです、運動能力が高いです。

多くの運動を必要とします。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
毎日のブラッシングが必要です。
換毛期には抜け毛が増えます。"
